Product_Name,Source_File,Confidence,Table_Number,Page,Row_Number,Total_Rows,Col_1_Column_1,Col_2_Column_2,Col_1_Tulajdonság,Col_2_Jel,Col_3_Érték,Col_4_Mértékegység,Col_5_Vonatkozó szabvány,Col_1_Szellőző és légkondícionáló,Col_2_Érték,Col_3_Keresztmetszet,Col_4_Vonatkozó szabvány,Col_1_Füstelszívó,Col_2_A,Col_3_B,Col_4_C,Col_5_D,Col_6_E,Col_7_F,"Col_1_Program
meg nevezése",Col_2_Fejlesztő ország,Col_3_Rövid leírás,Col_1_μ0,Col_2_Θa cr,Col_3_μ0,Col_4_Θa cr,Col_5_μ0,Col_6_Θa cr,"Col_1_1-2-3.
keresztmetszeti osztály",Col_2_Tetőfödémek merevített szerkezeti elemei,"Col_3_μfi ≤ 0,45",Col_4_Tkr = 600 ºC,Col_3_Column_3,Col_2_1,Col_2_g,Col_4_h,Col_5_Column_5,Col_6_Column_6,Col_7_Column_7,Col_8_Column_8,Col_9_Column_9,Col_10_Column_10,"Col_2_h
g",Col_4_Column_4,Col_11_Column_11,Col_12_Column_12,Col_13_Column_13,Col_14_Column_14,Col_15_Column_15,Col_1_Idomszelvény típusa,Col_2_U tűznek kitett kerület [m],"Col_1_U/A
[m–1]","Col_2_A tűzvédelmi burkolat minimális vastagsága [mm]
a T fügvényében
kr","Col_2_1
2",Col_3_1,"Col_1_R tűzálló-
sági telj.
[min.]","Col_2_Krit.
hőm.
Tkr
[°C]","Col_3_CONLIT 150 lemezek minimális vastagsága
d [mm] a betonfedés (g) függvényében [mm]","Col_1_Tűzállósági telje-
sítménye [min.]","Col_2_CONLIT 150 lemezek minimális vastagsága
d [mm] – a vasbeton lemez teljes vastagságának
h [mm] függvényében",Col_1_1,"Col_1_1
2",Col_2_3,Col_1_Leírás,Col_2_Megjegyzések,Col_1_Terméknév,"Col_2_Súly
kg/m2","Col_3_Méret
(mm)","Col_4_Vastagság
(mm)","Col_5_Maximális csatorna-keresztmetszet,
szél x hossz (mm)","Col_1_Csatorna
típusa","Col_2_A csatorna
oldalainak
maximális
mérete
[mm]","Col_3_Csatorna
elhelyezkedése","Col_4_Szigetelés
vastagsága
[mm]","Col_5_Nyomás
inter-
valluma
[Pa]","Col_6_CONLIT Plus lemez
típusa","Col_7_Tűzvédelmi
teljesítmény az MSSZ-EN
13501- 3+A1:2010 és
MSZ-EN 13501-4+A1:2010
szabvány szerint","Col_8_Kivitelezés
típusa az
alábbi pont
szerint","Col_1_2
7","Col_1_2
3",Col_2_7,"Col_2_1
10",Col_1_3,Col_3_2,"Col_5_3
2","Col_1_1
2 3",Col_1_5,"Col_1_A felfüggesztő elemekben a feszültségek max. értéke a tűzállósági
határértéktől függően t:",Col_1_H B,Col_2_200,Col_3_250,Col_4_300,Col_5_400,Col_6_500,Col_7_600,Col_8_800,Col_9_1000,Col_10_1200,Col_2_500,Col_3_600,Col_4_800,Col_5_1000,Col_6_1200,Col_2_Önsúly [kg/m2],Col_9_1,Col_5_6,Col_1_FÖDÉM,Col_1_2,Col_5_4,Col_4_5,"Col_1_Hővezetési ellenállás + 10 Celsius fokon, R
D",Col_2_Vastagság (mm),Col_3_Méret (mm),Col_4_Lemezlapok száma a raklapon (db),Col_5_Raklap (m2),"Col_2_Hőszigetelés után
A z energiaköltség akár 70%-kal csökkenhet
M egnő a belső falfelület hőmérséklete, mely kellemes
hőkomfort érzetet biztosít
A helyiségek állandó hőmérsékletének
fenntartása, a kihűlés folyamatának lassítása
A zavaró utcai zajok kiszűrése a falakon
és a tetőn keresztül
F alak védelme a külső légköri hatásokkal s zemben
A z épület esztétikai jellegének javítása
Az épület élettartamának meghosszabbí tása
14 cm vastagságú, kétrétegű, A hőszigetelés a ROCKWOOL
vakolható homlokzati kőzet gyapot termékével, a Frontrock Max E
alkalmazásával hőszigetelt családi ház homlokzati hőszigetelő-anyaggal
felvétele. A kék szín mutatja, hogy történt.
a ház falainak külső hőmérséklete A mérést 2009 januárjában
sokkal alacsonyabb a megfelelő készítették.
hőszigetelésnek köszönhetően.","Col_1_Padló
hőszigetelése
6%",Col_1_Az épület energetikai kategóriái,"Col_2_Egy gyengén hőszigetelt épület
energetikai mutatója: kWh/(m² · év)",Col_1_A++,Col_2_+,"Col_1_NYÁR
ti
(belső
hőmérséklet)
te
(külső
H
hőmérséklet)
Ha a
olya
hősz
TÉL nem
a fal
csap
pen
Nyáron a falak külső felületének
fel.
hőmérséklete elérheti a 60 ˚C-ot is!
hog
meg","Col_2_Házilagosan,
gyakorlatilag
vágási veszteség
nélkül beépíthető!",Col_2_KLIMAMAT 32,Col_3_KLIMAMAT,Col_4_KLIMAFIX,"Col_5_TECHROCK
ALS","Col_6_ROCKWOOL
800","Col_1_A levegő hőmérséklete
[°C]",Col_2_A levegő relatív páratartalma,"Col_1_tűzvédelmi osztály A2 -s1,d0
L",Col_6_Mértékegység,Col_7_Vonatkozó szabvány,Col_7_Mértékegység,Col_8_Vonatkozó szabvány,Col_8_Mértékegység,Col_3_Jel,Col_4_Érték,Col_1_Figyelem! 2015. március 5­től,Col_7_he l,Col_11_yes,"Col_1_Falszerkezet U hőátbocsátási
tényezője [W/(m2*K)], ha
Hagyományos falazóelemekből készült
falazat",Col_2_vakolt,Col_3_vakolatlan,Col_4_vakolható kőzetgyapottal,"Col_1_Falszerkezet U hőátbocsátási
tényezője [W/(m2*K)], ha
Korszerű falazóelemekből készült falazat",Col_5_Mértékegység,Col_9_Mértékegység,Col_10_Vonatkozó szabvány,"Col_1_MONROCK MAX E, DUROCK
és HARDROCK MAX inhomogén
kőzetgyapot hőszigetelő lemez
MŰKÖDÉSI ELV","Col_1_Homogén kőzetgyapot
hőszigetelő lemez
MŰKÖDÉSI ELV",Col_1_a,Col_2_a,"Col_1_Műveletek
sorrendje",Col_2_Műveletek leírása,Col_3_Anyag,"Col_1_Rockfall vonalralejtő elemek
A Rockfall vonalralejtő elemeinek modulmérete
Modul: 2% A B C D E F G H I J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 20 40 60 80 100 120 140 160 180 200 220 240
K2
2% K0 K1 K2 K 60 0 K 61 0 K 62 0 K 660 00 K 6 61 0 0 6 60 0 6 6 60 0 0
60 60 60 60 60 60 60 60 60 60
K0 K1 K2
Modul: 2,5% A B C D E F G H I J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 25 50 75 100 125 150 175 200 225 250 275 300
KF1
KF 2 KF 1 KF 2 KF 1 KF 2 50 5 50 0
2,5% K F1 KF 2 KF 1 5 0 5 0 55 00 55 00 55 00 5 50 0
50 50 50 50 50 50 50 50
50 50 50 50 50 50 50 50 50 50
KF0 KF1 KF2
Modul: 3% A B C D E F G H I J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 30 60 90 120 150 180 210 240 270 300 330 360
H1
H2 H1 H2 H1 H2 60 6 60 0
3% H 1 H2 H1 6 0 6 0 66 00 66 00 66 00 6 60 0
60 60 60 60 60 60 60 60
60 60 60 60 60 60 60 60 60 60
H0 H1 H2","Col_1_8,0",Col_16_Column_16,"Col_17_a
1","Col_1_0,5",Col_3_b,Col_4_c,Col_5_b+40,Col_6_c+40,Col_7_b+80,Col_8_c+80,Col_9_b+120,Col_10_c+120,Col_11_b+160,Col_12_c+160,Col_13_b+200,Col_14_c+200,Col_15_b+240,Col_16_c+240,Col_17_b+280,Col_1_Műszaki adatok,"Col_1_ProRox®
Industrial
insulation","Col_1_See page 7 for your up-to-date customized
product price overview.
Always check the latest prices on Rockprice,
our online price tool.","Col_3_ProRox®
Industrial
insulation",Col_1_ProRox PS,Col_3_960 ALU,Col_1_Thickness,Col_2_25,Col_3_30,Col_4_40,Col_5_50,Col_6_60,Col_7_80,Col_8_100,Col_9_120,Col_1_Diameter,Col_2_Thickness,Col_3_25,Col_4_30,Col_5_40,Col_6_50,Col_7_60,Col_8_80,Col_9_100,Col_10_120,Col_1_r Thickness,Col_1_er Thickness,"Col_1_g Thickness
(mm)","Col_2_Width
(mm)","Col_3_Length
(mm)","Col_4_Product
code",Col_5_Delivery,"Col_6_Base
Unit","Col_7_m²
per
pack
/ roll","Col_8_Pieces
/pack","Col_9_m²
per
base
unit","Col_10_Pack
/pallet","Col_11_Pallet /
Camion","Col_12_Area /
Camion","Col_13_Loading
factor",Col_14_Price,"Col_15_Price (incl.
VAT)","Col_1_ess Width
) (mm)","Col_2_Length
(mm)","Col_3_Product
code",Col_4_Delivery,"Col_5_Base
Unit","Col_6_m²
per
pack
/ roll","Col_7_Pieces
/pack","Col_8_m²
per
base
unit","Col_9_Pack
/pallet","Col_10_Pallet /
Camion","Col_11_Area /
Camion","Col_12_Loading
factor",Col_13_Price,"Col_14_Price (incl.
VAT)",Col_1_duct code,Col_2_Delivery,Col_3_Base Unit,Col_4_KG,Col_5_Pallet / Camion,Col_6_Price,Col_7_Price (incl. VAT),"Col_1_ss Width
(mm)",Col_10_KG,"Col_1_ness Width
m) (mm)","Col_6_m² per
pack /
roll","Col_8_Loading
factor",Col_9_Price,Col_10_Price (incl. VAT),Col_1_Szállítási feltétel,Col_2_Teljes kamion,"Col_3_Kevesebb, mint egy teljes kamion A","Col_1_Rockfall vonalralejtő elemek
A Rockfall vonalralejtő elemeinek modulmérete
Modul: 2% A B C D E F G H I J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 20 40 60 80 100 120 140 160 180 200 220 240
K2
2% K0 K1 K2 K 60 0 K 61 0 K 602 K 660 00 6K 601 0 6 60 0 6 6 60 0 0
60 60 60 60 60 60 60 60 60 60
K0 K1 K2
Modul: 2,5% A B C D E F G H I J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 25 50 75 100 125 150 175 200 225 250 275 300
KF1
KF 2 KF 1 KF 2 KF 1 KF 2 50 5 50 0
2,5% K F1 KF 2 KF 1 50 50 5 50 0 5 50 0 5 50 0 5 50 0
50 50 50 50 50 50 50 50
50 50 50 50 50 50 50 50 50 50
KF0 KF1 KF2
Modul: 3% A B C D E F G H I J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 30 60 90 120 150 180 210 240 270 300 330 360
H1
H2 H1 H2 H1 H2 60 6 60 0
3% H 1 H2 H1 6 0 60 66 00 66 00 66 00 6 60 0
60 60 60 60 60 60 60 60
60 60 60 60 60 60 60 60 60 60
H0 H1 H2",Col_3_a/8,"Col_1_Rockfall vonalralejtő elemek
A Rockfall vonalralejtő elemeinek modulmérete
Modul: 2% A B C D e F g H i J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 20 40 60 80 100 120 140 160 180 200 220 240
K2
2% K0 K1 K2 K 60 0 K 61 0 K 602 K 660 00 6K 601 0 6 60 0 6 6 60 0 0
60 60 60 60 60 60 60 60 60 60
K0 K1 K2
Modul: 2,5% A B C D e F g H i J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 25 50 75 100 125 150 175 200 225 250 275 300
KF1
KF 2 KF 1 KF 2 KF 1 KF 2 50 5 50 0
2,5% K F1 KF 2 KF 1 50 50 5 50 0 5 50 0 5 50 0 5 50 0
50 50 50 50 50 50 50 50
50 50 50 50 50 50 50 50 50 50
KF0 KF1 KF2
Modul: 3% A B C D e F g H i J K L
Hosszúság (m) 0 1 2 3 4 5 6 7 8 9 10 11 12
Magasság (mm) 0 30 60 90 120 150 180 210 240 270 300 330 360
H1
H2 H1 H2 H1 H2 60 6 60 0
3% H 1 H2 H1 6 0 60 66 00 66 00 66 00 6 60 0
60 60 60 60 60 60 60 60
60 60 60 60 60 60 60 60 60 60
H0 H1 H2",Col_1_Minősítések,"Col_1_gáz:
6500 m3","Col_1_gáz: megtakarítás:
1850 m3 4650 m3","Col_1_50 év alatt elhasznált energia
m2 alapterületenként,
különböző módon hőszigetelt
épületekben","Col_1_A fal
zajcsökkentése","Col_1_1 2 3
4
Tűzprób
A tűzpróbának k
ROCKWOOL kőz
minta nem égett
előtte utána
állaga a teszt elő
megegyező.","Col_1_Régi, hőszigetelés nélküli épület",Col_1_Felújított épület
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,7,11,,,,wl(p),"≤ 3,0",kg · m–2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,8,11,,,Áramlási ellenállás,aF,5,kpa · s/m2,EN 13162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,9,11,,,,"t
t",> 1000,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,10,11,,,termékjelölés,Mw-EN-13162-t4-ws-wl(p)-aF5-MU1,,,EN 13162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock HD,Airrock HD termxE9kadatlap.pdf,0.9,1,2,11,11,,,,1415-CpR-9-(C-7/2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,1,11,,,,—,A1,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,2,11,,,Deklarált hővezetési tényező,"λ
D","0,037",W · m–1 · K–1,"EN 12667, EN 12939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,3,11,,,,m,1,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,4,11,,,Névleges testsűrűség,"ρ
sm",40,kg · m–3,EN 1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,5,11,,,,t4,"-3% vagy -3 mm (a);
+5% vagy +5 mm (b)","A számszerűen nagyobb (a),
ill. kisebb (b) tűrést
eredményező a mértékadó.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,6,11,,,"Vízfelvétel rövid ideig tartó
vízbe merítéskor",Ws,"≤ 1,0",kg · m–2,EN 1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,7,11,,,,WL(p),"≤ 3,0",kg · m–2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,8,11,,,Áramlási ellenállás,AF,6,kpa · s/m2,EN 13162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,9,11,,,,"t
t",> 1000,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,10,11,,,termékjelölés,MW-EN-13162-t4-Ws-WL(p)-AF6-MU1,,,EN 13162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock LD,Airrock LD termxE9kadatlap.pdf,0.9,1,2,11,11,,,,1415-CpR-9-(C-7/2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,1,12,,,,—,A1,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,2,12,,,Deklarált hővezetési tényező,"λ
D","0,035",W · m–1 · K–1,"EN 12667, EN 12939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,3,12,,,,m,1,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,4,12,,,Névleges testsűrűség,"ρ
sm",50,kg · m–3,EN 1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,5,12,,,,t4,"-3% vagy -3 mm (a);
+5% vagy +5 mm (b)","A számszerűen nagyobb (a),
ill. kisebb (b) tűrést
eredményező a mértékadó.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,6,12,,,"Méretállandóság meghatározott
hőmérsékleten és relatív páratartalmi
feltételek mellett","Ds (70,90)","≤ 1,0",%,EN 1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airrock ND FB1,Airrock ND FB1 termxE9kadatlap.pdf,0.9,1,2,7,12,,,,Ws,"≤ 1,0",kg · m–2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
